체류자격별,사증면제(B_1),관광통과(B_2),단기방문(C_3),유학(D_2),일반연수(D_4),비전문취업(E_9),선원취업(E_10),방문동거(F_1),거주(F_2),결혼이민(F_6),기타(G_1),방문취업(H_2),기타
2010,14569,13954,34646,4586,4167,42773,1622,6572,10315,,1825,3924,29562
2011,16092,17303,31210,4216,4677,45105,3032,6589,10215,,2041,3658,23642
2012,18902,15588,45085,3312,5294,53960,4000,4437,10337,335,2430,5425,8749
2013,22241,14984,44489,2644,5118,55058,4478,4336,9325,1469,2764,6263,9937
2014,46117,15899,45746,2157,4816,52760,4974,3992,7838,3482,3078,6773,11146
2015,56307,19658,47373,1585,4425,49272,5240,3373,5967,3536,2709,5090,9633
2016,63319,19038,46041,1034,4687,45567,5480,2440,3660,3321,3607,2315,8462
2017,85196,20662,56631,1112,7209,46618,5993,2774,3063,3439,6916,2415,9013
2018,162083,30028,67157,1419,12613,47373,6174,3134,2631,5723,7893,2320,6578
2019,176244,30272,81723,2833,19234,46122,6206,3034,2276,5203,8202,2095,6837
2020,171805,26111,78934,4692,23673,47122,6399,3772,2133,5339,9250,2896,10070
2021,157747,20864,78455,6947,25726,50876,7305,4243,1950,3995,12343,3060,15189
2022,164523,19133,79677,9408,26852,55171,8732,4653,1847,4122,12909,3428,20815
